"No.","Time","Source","Destination","Protocol","Length","Info"
"10961","164.260039","192.168.1.7","36.92.238.140","QUIC","84","Protected Payload (KP0), DCID=a7cfb2044b5297d6"
"10962","164.260421","192.168.1.7","36.92.238.140","QUIC","84","Protected Payload (KP0), DCID=a7cfb2044b5297d6"
"10963","164.260705","192.168.1.7","36.92.238.140","QUIC","84","Protected Payload (KP0), DCID=a7cfb2044b5297d6"
"10964","164.260873","192.168.1.7","36.92.238.140","QUIC","84","Protected Payload (KP0), DCID=a7cfb2044b5297d6"
"10965","164.261357","192.168.1.7","36.92.238.140","QUIC","86","Protected Payload (KP0), DCID=a7cfb2044b5297d6"
"10966","164.263288","192.168.1.7","36.92.238.140","QUIC","86","Protected Payload (KP0), DCID=a7cfb2044b5297d6"
"10967","164.263563","192.168.1.7","36.92.238.140","QUIC","86","Protected Payload (KP0), DCID=a7cfb2044b5297d6"
"10968","164.263742","192.168.1.7","36.92.238.140","QUIC","86","Protected Payload (KP0), DCID=a7cfb2044b5297d6"
"10969","164.264034","192.168.1.7","36.92.238.140","QUIC","88","Protected Payload (KP0), DCID=a7cfb2044b5297d6"
"10970","164.264276","192.168.1.7","36.92.238.140","QUIC","90","Protected Payload (KP0), DCID=a7cfb2044b5297d6"
"10971","164.272854","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"10972","164.272854","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"10973","164.272854","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"10974","164.272854","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"10975","164.272854","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"10976","164.272854","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"10977","164.272854","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"10978","164.272854","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"10979","164.272854","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"10980","164.272854","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"10981","164.272854","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"10982","164.272854","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"10983","164.272854","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"10984","164.272854","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"10985","164.272854","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"10986","164.272854","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"10987","164.272854","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"10988","164.272854","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"10989","164.272854","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"10990","164.272854","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"10991","164.272854","36.92.238.140","192.168.1.7","QUIC","76","Protected Payload (KP0)"
"10992","164.272854","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"10993","164.272854","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"10994","164.272854","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"10995","164.272854","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"10996","164.272854","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"10997","164.272854","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"10998","164.272854","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"10999","164.272854","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11000","164.272854","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11001","164.272854","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11002","164.272854","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11003","164.273842","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11004","164.273842","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11005","164.273842","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
